#,Series,Division,Match Type,Date,Time,Team One,Team Two,Ground
55,Leather Ball 2026,Blast T20,League,04/19/2026,15:30,Midwest Bison,The Underdawg XI,Vernon Hills
56,Leather Ball 2026,Blast T20,League,04/19/2026,12:00,Knotty 40,Shaheens of Pakistan,Tigers Park
57,Leather Ball 2026,Blast T20,League,04/19/2026,12:00,Desi Tigers,Midwest Bison,Gurnee
58,Leather Ball 2026,Blast T20,League,04/19/2026,12:00,Brothers XI,The Underdawg XI,Naperville East
59,Leather Ball 2026,RedBall Premier,League,04/19/2026,08:30,Cardinals United,Deccan Mavericks,Tigers Park
60,Leather Ball 2026,RedBall Premier,League,04/19/2026,08:30,CYCA Elite,Midwest CC,Gurnee
61,Leather Ball 2026,RedBall Premier,League,04/19/2026,08:30,Challengers,Streamwood Cricket Club,Naperville East
62,Leather Ball 2026,RedBall Premier,League,04/19/2026,08:30,Milwaukee Panthers,SBCC Slayers,Plainfield Northwest
63,Leather Ball 2026,RedBall Premier,League,04/19/2026,08:30,Club Cricket of Chicago,Rovers,Plainfield Grande Park old
64,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,Bullfincherz,Spartans,balstrod b.brook
65,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,DeePark Dynamites,DMavs Stallions,WP 1
66,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,BPL Youth,Warriors,WP 2
67,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,Oh Gawd XI,Wildcats,Tippecone Park
68,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,Chicago Warriors,Dominators,Crescent
69,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,Kings,Schaumburg Strikers,South Barrington OLD
70,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,Black Caps,Deccan Heroes,Hanover Park
71,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,Midwest Vipers,Stars,Heritage Park
72,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,CYCA Underdogs,Rising Starz Youth,Skoke East
73,Leather Ball 2026,RedBall Division II,League,04/19/2026,08:30,Evanston CC,Midwest Blizzards,Skoke West
74,Leather Ball 2026,Blast T20,League,04/19/2026,08:30,Desi Tigers,Shaheens of Pakistan,"James Park, Evanston"
75,Leather Ball 2026,Blast T20,League,04/19/2026,08:30,Chicago Saifee Warriors,Knotty 40,Vernon Hills
76,Leather Ball 2026,Yash Premier League,League,04/25/2026,15:30,Dolphins,Midwest CC,Tigers Park
77,Leather Ball 2026,Yash Premier League,League,04/25/2026,15:30,Barrington Crescent Cricket Club,Panthers,Gurnee
78,Leather Ball 2026,Yash Premier League,League,04/25/2026,15:30,Deepark Dynamites,Evanston CC,Naperville East
79,Leather Ball 2026,Yash Premier League,League,04/25/2026,15:30,Kings XI Chicago,Pak Gymkhana,Plainfield Northwest
80,Leather Ball 2026,Yash Premier League,League,04/25/2026,15:30,Anjuman,SBCC Slayers,Plainfield Grande Park old
81,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,BPL Youth,Oh Gawd XI,balstrod b.brook
82,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,Chicago Warriors,Spartans,WP 1
