#,Series,Division,Match Type,Date,Time,Team One,Team Two,Ground
240,Leather Ball 2026,RedBall Premier,League,05/10/2026,15:30,Cardinals United,Challengers,Plainfield Northwest
241,Leather Ball 2026,RedBall Division II,League,05/10/2026,15:30,Black Caps,CYCA Underdogs,Plainfield Grande Park old
242,Leather Ball 2026,RedBall Division II,League,05/10/2026,15:30,Chicago Warriors,DMavs Stallions,balstrod b.brook
243,Leather Ball 2026,Blast T20,League,05/10/2026,12:00,DeePark Dynamites,Midwest CC,Tigers Park
244,Leather Ball 2026,RedBall Premier,League,05/10/2026,08:30,Rovers,SBCC Slayers,Tigers Park
245,Leather Ball 2026,RedBall Premier,League,05/10/2026,08:30,CYCA Elite,Deccan Mavericks,Gurnee
246,Leather Ball 2026,RedBall Premier,League,05/10/2026,08:30,Midwest CC,Streamwood Cricket Club,Naperville East
247,Leather Ball 2026,RedBall Premier,League,05/10/2026,08:30,Cardinals United,Milwaukee Panthers,Plainfield Northwest
248,Leather Ball 2026,Elite White Ball Division II,League,05/10/2026,08:30,AAA,Wildcats,Plainfield Grande Park old
249,Leather Ball 2026,RedBall Division II,League,05/10/2026,08:30,Black Caps,Evanston CC,balstrod b.brook
250,Leather Ball 2026,RedBall Division II,League,05/10/2026,08:30,Club Cricket of Chicago,CYCA Underdogs,WP 1
251,Leather Ball 2026,RedBall Division II,League,05/10/2026,08:30,Chicago Tigers,DMavs Stallions,WP 2
252,Leather Ball 2026,RedBall Division II,League,05/10/2026,08:30,Chicago Warriors,Midwest Blizzards,Tippecone Park
253,Leather Ball 2026,Blast T20,League,05/10/2026,08:30,Chicago Saifee Warriors,DeePark Dynamites,Crescent
254,Leather Ball 2026,Blast T20,League,05/10/2026,08:30,Challengers,Shaheens of Pakistan,South Barrington OLD
255,Leather Ball 2026,Yash Premier League,League,05/16/2026,15:30,CYCA Elite,Dolphins,Tigers Park
256,Leather Ball 2026,Yash Premier League,League,05/16/2026,15:30,Barrington Crescent Cricket Club,Kings XI Chicago,Gurnee
257,Leather Ball 2026,Yash Premier League,League,05/16/2026,15:30,Deccan Mavericks,SBCC Slayers,Naperville East
258,Leather Ball 2026,Yash Premier League,League,05/16/2026,15:30,Deepark Dynamites,Panthers,Plainfield Northwest
259,Leather Ball 2026,Yash Premier League,League,05/16/2026,15:30,Anjuman,Pak Gymkhana,Plainfield Grande Park old
260,Leather Ball 2026,Yash Premier League,League,05/16/2026,15:30,Evanston CC,Midwest CC,balstrod b.brook
261,Leather Ball 2026,RedBall Division II,League,05/16/2026,15:30,Chicago Warriors,CYCA Underdogs,WP 1
262,Leather Ball 2026,RedBall Division II,League,05/16/2026,15:30,Black Caps,Midwest Blizzards,WP 2
263,Leather Ball 2026,Blast T20,League,05/16/2026,12:00,DeePark Dynamites,Desi Tigers,Tigers Park
264,Leather Ball 2026,Blast T20,League,05/16/2026,12:00,Brothers XI,Club Cricket of Chicago,Gurnee
265,Leather Ball 2026,Blast T20,League,05/16/2026,12:00,Challengers,The Underdawg XI,Naperville East
266,Leather Ball 2026,Yash Premier League,League,05/16/2026,08:30,Dolphins,SBCC Slayers,Tigers Park
267,Leather Ball 2026,Yash Premier League,League,05/16/2026,08:30,Barrington Crescent Cricket Club,Deepark Dynamites,Gurnee
268,Leather Ball 2026,Yash Premier League,League,05/16/2026,08:30,Deccan Mavericks,Pak Gymkhana,Naperville East
269,Leather Ball 2026,Yash Premier League,League,05/16/2026,08:30,CYCA Elite,Midwest CC,Plainfield Northwest
270,Leather Ball 2026,Yash Premier League,League,05/16/2026,08:30,Evanston CC,Panthers,Plainfield Grande Park old
271,Leather Ball 2026,RedBall Division II,League,05/16/2026,08:30,Club Cricket of Chicago,DMavs Stallions,balstrod b.brook
272,Leather Ball 2026,RedBall Division II,League,05/16/2026,08:30,CYCA Underdogs,Midwest Blizzards,WP 1
273,Leather Ball 2026,RedBall Division II,League,05/16/2026,08:30,Black Caps,Chicago Tigers,WP 2
274,Leather Ball 2026,Blast T20,League,05/16/2026,08:30,DeePark Dynamites,Knotty 40,Tippecone Park
275,Leather Ball 2026,Blast T20,League,05/16/2026,08:30,Brothers XI,Challengers,Crescent
276,Leather Ball 2026,RedBall Premier,League,05/17/2026,15:30,Deccan Mavericks,Midwest CC,Tigers Park
277,Leather Ball 2026,RedBall Premier,League,05/17/2026,15:30,Cardinals United,Club Cricket of Chicago,Gurnee
278,Leather Ball 2026,RedBall Premier,League,05/17/2026,15:30,Challengers,Milwaukee Panthers,Naperville East
279,Leather Ball 2026,RedBall Division II,League,05/17/2026,15:30,Black Caps,DMavs Stallions,Plainfield Northwest
280,Leather Ball 2026,RedBall Division II,League,05/17/2026,15:30,Chicago Warriors,Evanston CC,Plainfield Grande Park old
281,Leather Ball 2026,Blast T20,League,05/17/2026,12:00,CYCA Underdogs,The Underdawg XI,Tigers Park
282,Leather Ball 2026,Blast T20,League,05/17/2026,12:00,Brothers XI,DeePark Dynamites,Gurnee
283,Leather Ball 2026,RedBall Premier,League,05/17/2026,08:30,Club Cricket of Chicago,Midwest CC,Tigers Park
284,Leather Ball 2026,RedBall Premier,League,05/17/2026,08:30,CYCA Elite,Milwaukee Panthers,Gurnee
285,Leather Ball 2026,RedBall Premier,League,05/17/2026,08:30,Rovers,Streamwood Cricket Club,Naperville East
286,Leather Ball 2026,RedBall Premier,League,05/17/2026,08:30,Challengers,SBCC Slayers,Plainfield Northwest
287,Leather Ball 2026,RedBall Division II,League,05/17/2026,08:30,CYCA Underdogs,Evanston CC,Plainfield Grande Park old
288,Leather Ball 2026,RedBall Division II,League,05/17/2026,08:30,Chicago Tigers,Chicago Warriors,balstrod b.brook
289,Leather Ball 2026,RedBall Division II,League,05/17/2026,08:30,DMavs Stallions,Midwest Blizzards,WP 1
290,Leather Ball 2026,Blast T20,League,05/17/2026,08:30,DeePark Dynamites,The Underdawg XI,WP 2
291,Leather Ball 2026,Yash Premier League,League,05/30/2026,15:30,Deccan Mavericks,Dolphins,Tigers Park
292,Leather Ball 2026,Yash Premier League,League,05/30/2026,15:30,Anjuman,Barrington Crescent Cricket Club,Gurnee
293,Leather Ball 2026,Yash Premier League,League,05/30/2026,15:30,Evanston CC,Pak Gymkhana,Naperville East
294,Leather Ball 2026,Yash Premier League,League,05/30/2026,15:30,Midwest CC,SBCC Slayers,Plainfield Northwest
295,Leather Ball 2026,Blast T20,League,05/30/2026,12:00,Challengers,CYCA Underdogs,Tigers Park
296,Leather Ball 2026,Blast T20,League,05/30/2026,12:00,Club Cricket of Chicago,Midwest Bison,Gurnee
297,Leather Ball 2026,Blast T20,League,05/30/2026,12:00,DeePark Dynamites,Shaheens of Pakistan,Naperville East
298,Leather Ball 2026,Yash Premier League,League,05/30/2026,08:30,Anjuman,Dolphins,Tigers Park
299,Leather Ball 2026,Yash Premier League,League,05/30/2026,08:30,Evanston CC,SBCC Slayers,Gurnee
300,Leather Ball 2026,Yash Premier League,League,05/30/2026,08:30,Deepark Dynamites,Kings XI Chicago,Naperville East
301,Leather Ball 2026,Yash Premier League,League,05/30/2026,08:30,CYCA Elite,Pak Gymkhana,Plainfield Northwest
302,Leather Ball 2026,Blast T20,League,05/30/2026,08:30,Brothers XI,CYCA Underdogs,Plainfield Grande Park old
303,Leather Ball 2026,Blast T20,League,05/30/2026,08:30,Chicago Saifee Warriors,Midwest CC,balstrod b.brook
304,Leather Ball 2026,Blast T20,League,05/30/2026,08:30,Club Cricket of Chicago,DeePark Dynamites,WP 1
305,Leather Ball 2026,Blast T20,League,05/30/2026,08:30,Challengers,Midwest Bison,WP 2
306,Leather Ball 2026,Blast T20,League,05/31/2026,12:00,Midwest Bison,Midwest CC,Tigers Park
307,Leather Ball 2026,Blast T20,League,05/31/2026,12:00,Club Cricket of Chicago,CYCA Underdogs,Gurnee
308,Leather Ball 2026,RedBall Premier,League,05/31/2026,08:30,Club Cricket of Chicago,Streamwood Cricket Club,Tigers Park
309,Leather Ball 2026,RedBall Premier,League,05/31/2026,08:30,Cardinals United,Rovers,Gurnee
310,Leather Ball 2026,Blast T20,League,05/31/2026,08:30,CYCA Underdogs,Knotty 40,Naperville East
311,Leather Ball 2026,Blast T20,League,05/31/2026,08:30,Midwest CC,The Underdawg XI,Plainfield Northwest
312,Leather Ball 2026,Yash Premier League,League,06/06/2026,15:30,Deccan Mavericks,Deepark Dynamites,Tigers Park
313,Leather Ball 2026,Blast T20,League,06/06/2026,12:00,CYCA Underdogs,Midwest CC,Tigers Park
314,Leather Ball 2026,Blast T20,League,06/06/2026,12:00,Club Cricket of Chicago,Desi Tigers,Gurnee
315,Leather Ball 2026,Yash Premier League,League,06/06/2026,08:30,Deepark Dynamites,Midwest CC,Tigers Park
316,Leather Ball 2026,Yash Premier League,League,06/06/2026,08:30,Anjuman,CYCA Elite,Gurnee
317,Leather Ball 2026,Yash Premier League,League,06/06/2026,08:30,Deccan Mavericks,Kings XI Chicago,Naperville East
318,Leather Ball 2026,Yash Premier League,League,06/06/2026,08:30,Panthers,SBCC Slayers,Plainfield Northwest
319,Leather Ball 2026,Blast T20,League,06/06/2026,08:30,CYCA Underdogs,Midwest Bison,Plainfield Grande Park old
320,Leather Ball 2026,Blast T20,League,06/06/2026,08:30,Chicago Saifee Warriors,Club Cricket of Chicago,balstrod b.brook
321,Leather Ball 2026,Blast T20,League,06/07/2026,12:00,CYCA Underdogs,Desi Tigers,Tigers Park
322,Leather Ball 2026,Blast T20,League,06/07/2026,12:00,Club Cricket of Chicago,Midwest CC,Gurnee
323,Leather Ball 2026,Blast T20,League,06/07/2026,08:30,CYCA Underdogs,Shaheens of Pakistan,Tigers Park
324,Leather Ball 2026,Blast T20,League,06/07/2026,08:30,Brothers XI,Midwest CC,Gurnee
325,Leather Ball 2026,Blast T20,League,06/13/2026,12:00,Desi Tigers,Midwest CC,Tigers Park
326,Leather Ball 2026,Blast T20,League,06/13/2026,12:00,Chicago Saifee Warriors,CYCA Underdogs,Gurnee
327,Leather Ball 2026,Blast T20,League,06/13/2026,08:30,CYCA Underdogs,DeePark Dynamites,Tigers Park
328,Leather Ball 2026,Blast T20,League,06/13/2026,08:30,Midwest CC,Shaheens of Pakistan,Gurnee
329,Leather Ball 2026,Blast T20,League,06/14/2026,08:30,Knotty 40,Midwest CC,Tigers Park
330,Leather Ball 2026,Elite White Ball Division II,Quarter Final,08/01/2026,15:30,Seed 1,Seed 8,Tigers Park
331,Leather Ball 2026,Elite White Ball Division II,Quarter Final,08/01/2026,15:30,Seed 2,Seed 7,Gurnee
332,Leather Ball 2026,Elite White Ball Division II,Quarter Final,08/01/2026,15:30,Seed 3,Seed 6,Naperville East
333,Leather Ball 2026,Elite White Ball Division II,Quarter Final,08/01/2026,15:30,Seed 4,Seed 5,Plainfield Northwest
334,Leather Ball 2026,Elite White Ball Division II,Semi Final,08/01/2026,15:30,Winner QF1,Winner QF2,Plainfield Grande Park old
335,Leather Ball 2026,Elite White Ball Division II,Semi Final,08/01/2026,15:30,Winner QF3,Winner QF4,balstrod b.brook
336,Leather Ball 2026,Elite White Ball Division II,Final,08/01/2026,15:30,Winner SF1,Winner SF2,WP 1
337,Leather Ball 2026,Yash Premier League,Quarter Final,08/01/2026,08:30,Seed 1,Seed 8,Tigers Park
338,Leather Ball 2026,Yash Premier League,Quarter Final,08/01/2026,08:30,Seed 2,Seed 7,Gurnee
339,Leather Ball 2026,Yash Premier League,Quarter Final,08/01/2026,08:30,Seed 3,Seed 6,Naperville East
340,Leather Ball 2026,Yash Premier League,Quarter Final,08/01/2026,08:30,Seed 4,Seed 5,Plainfield Northwest
341,Leather Ball 2026,Yash Premier League,Semi Final,08/01/2026,08:30,Winner QF1,Winner QF2,Plainfield Grande Park old
342,Leather Ball 2026,Yash Premier League,Semi Final,08/01/2026,08:30,Winner QF3,Winner QF4,balstrod b.brook
343,Leather Ball 2026,Yash Premier League,Final,08/01/2026,08:30,Winner SF1,Winner SF2,WP 1
344,Leather Ball 2026,RedBall Division II,Quarter Final,08/02/2026,15:30,Seed 1,Seed 8,Tigers Park
345,Leather Ball 2026,RedBall Division II,Quarter Final,08/02/2026,15:30,Seed 2,Seed 7,Gurnee
346,Leather Ball 2026,RedBall Division II,Quarter Final,08/02/2026,15:30,Seed 3,Seed 6,Naperville East
347,Leather Ball 2026,RedBall Division II,Quarter Final,08/02/2026,15:30,Seed 4,Seed 5,Plainfield Northwest
348,Leather Ball 2026,RedBall Division II,Semi Final,08/02/2026,15:30,Winner QF1,Winner QF2,Plainfield Grande Park old
349,Leather Ball 2026,RedBall Division II,Semi Final,08/02/2026,15:30,Winner QF3,Winner QF4,balstrod b.brook
350,Leather Ball 2026,RedBall Division II,Final,08/02/2026,15:30,Winner SF1,Winner SF2,WP 1
351,Leather Ball 2026,RedBall Premier,Quarter Final,08/02/2026,08:30,Seed 1,Seed 8,Tigers Park
352,Leather Ball 2026,RedBall Premier,Quarter Final,08/02/2026,08:30,Seed 2,Seed 7,Gurnee
353,Leather Ball 2026,RedBall Premier,Quarter Final,08/02/2026,08:30,Seed 3,Seed 6,Naperville East
354,Leather Ball 2026,RedBall Premier,Quarter Final,08/02/2026,08:30,Seed 4,Seed 5,Plainfield Northwest
355,Leather Ball 2026,RedBall Premier,Semi Final,08/02/2026,08:30,Winner QF1,Winner QF2,Plainfield Grande Park old
356,Leather Ball 2026,RedBall Premier,Semi Final,08/02/2026,08:30,Winner QF3,Winner QF4,balstrod b.brook
357,Leather Ball 2026,RedBall Premier,Final,08/02/2026,08:30,Winner SF1,Winner SF2,WP 1
358,Leather Ball 2026,Blast T20,Quarter Final,08/08/2026,08:30,Seed 1,Seed 8,Tigers Park
359,Leather Ball 2026,Blast T20,Quarter Final,08/08/2026,08:30,Seed 2,Seed 7,Gurnee
360,Leather Ball 2026,Blast T20,Quarter Final,08/08/2026,08:30,Seed 3,Seed 6,Naperville East
361,Leather Ball 2026,Blast T20,Quarter Final,08/08/2026,08:30,Seed 4,Seed 5,Plainfield Northwest
362,Leather Ball 2026,Blast T20,Semi Final,08/08/2026,08:30,Winner QF1,Winner QF2,Plainfield Grande Park old
363,Leather Ball 2026,Blast T20,Semi Final,08/08/2026,08:30,Winner QF3,Winner QF4,balstrod b.brook
364,Leather Ball 2026,Blast T20,Final,08/08/2026,08:30,Winner SF1,Winner SF2,WP 1
