#,Series,Division,Match Type,Date,Time,Team One,Team Two,Ground
55,Leather Ball 2026,RedBall Premier,League,04/19/2026,08:30,Challengers,Milwaukee Panthers,Naperville East
56,Leather Ball 2026,RedBall Premier,League,04/19/2026,08:30,Club Cricket of Chicago,Midwest CC,Plainfield Northwest
57,Leather Ball 2026,RedBall Premier,League,04/19/2026,08:30,Deccan Mavericks,SBCC Slayers,Plainfield Grande Park old
58,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,Schaumburg Strikers,South Barrington Cricket Club,balstrod b.brook
59,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,AAA,DMavs Stallions,WP 1
60,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,Deccan Heroes,Stars,WP 2
61,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,DeePark Dynamites,Oh Gawd XI,Tippecone Park
62,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,Kings,Spartans,Crescent
63,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,BPL Youth,Rising Starz Youth,South Barrington OLD
64,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,Bullfincherz,Chicago Warriors,Hanover Park
65,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,Dominators,Warriors,Heritage Park
66,Leather Ball 2026,RedBall Division II,League,04/19/2026,08:30,Black Caps,Chicago Tigers,Skoke East
67,Leather Ball 2026,RedBall Division II,League,04/19/2026,08:30,CYCA Underdogs,Evanston CC,"James Park, Evanston"
68,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,Hawks,Midwest Vipers,Vernon Hills
69,Leather Ball 2026,Yash Premier League,League,04/25/2026,15:30,Panthers,SBCC Slayers,Tigers Park
70,Leather Ball 2026,Yash Premier League,League,04/25/2026,15:30,Anjuman,Deccan Mavericks,Gurnee
71,Leather Ball 2026,Yash Premier League,League,04/25/2026,15:30,Kings XI Chicago,Pak Gymkhana,Naperville East
72,Leather Ball 2026,Yash Premier League,League,04/25/2026,15:30,CYCA Elite,Evanston CC,Plainfield Northwest
73,Leather Ball 2026,Yash Premier League,League,04/25/2026,15:30,Dolphins,Midwest CC,Plainfield Grande Park old
74,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,Black Caps,Stars,balstrod b.brook
75,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,BPL Youth,Warriors,WP 1
76,Leather Ball 2026,Yash Premier League,League,04/25/2026,15:30,Barrington Crescent Cricket Club,Deepark Dynamites,Crescent
77,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,Chicago Warriors,Wildcats,South Barrington OLD
78,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,Midwest Vipers,Spartans,Hanover Park
79,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,CYCA Underdogs,DMavs Stallions,Heritage Park
80,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,Bullfincherz,Deccan Heroes,Skoke East
81,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,Dominators,Oh Gawd XI,Skoke West
82,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,Rising Starz Youth,Schaumburg Strikers,"James Park, Evanston"
83,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,15:30,DeePark Dynamites,Hawks,Vernon Hills
84,Leather Ball 2026,Blast T20,League,04/25/2026,12:00,Club Cricket of Chicago,Midwest Bison,Gurnee
85,Leather Ball 2026,Blast T20,League,04/25/2026,12:00,Challengers,Desi Tigers,Heritage Park
86,Leather Ball 2026,Yash Premier League,League,04/25/2026,08:30,Deccan Mavericks,SBCC Slayers,Tigers Park
87,Leather Ball 2026,Yash Premier League,League,04/25/2026,08:30,Midwest CC,Pak Gymkhana,Gurnee
88,Leather Ball 2026,Yash Premier League,League,04/25/2026,08:30,Anjuman,Evanston CC,Naperville East
89,Leather Ball 2026,Yash Premier League,League,04/25/2026,08:30,CYCA Elite,Dolphins,Plainfield Northwest
90,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,Deccan Heroes,Warriors,Plainfield Grande Park old
91,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,BPL Youth,Hawks,balstrod b.brook
92,Leather Ball 2026,RedBall Division II,League,04/25/2026,08:30,Chicago Tigers,CYCA Underdogs,WP 1
93,Leather Ball 2026,Yash Premier League,League,04/25/2026,08:30,Barrington Crescent Cricket Club,Panthers,Crescent
94,Leather Ball 2026,Yash Premier League,League,04/25/2026,08:30,Deepark Dynamites,Kings XI Chicago,South Barrington OLD
95,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,DeePark Dynamites,Spartans,Hanover Park
96,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,Bullfincherz,DMavs Stallions,Heritage Park
97,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,Chicago Warriors,Stars,Skoke East
98,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,Dominators,Midwest Vipers,Skoke West
